"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDIL","EQ","14-Mar-2014","         47.35","         46.90","         49.35","         43.60","         49.05","         49.00","         47.48","   13396741","       6360.12","      36951","    1200466","          8.96"
"HDIL","EQ","18-Mar-2014","         49.00","         49.25","         50.70","         47.70","         48.35","         48.35","         49.02","   10783139","       5286.13","      31734","    1165339","         10.81"
"HDIL","EQ","19-Mar-2014","         48.35","         48.00","         49.90","         47.65","         48.10","         48.25","         48.54","    9534747","       4628.51","      26791","     766257","          8.04"
"HDIL","EQ","20-Mar-2014","         48.25","         48.10","         48.25","         46.35","         46.40","         46.50","         47.19","    9128107","       4307.50","      22966","    1739667","         19.06"
"HDIL","EQ","21-Mar-2014","         46.50","         46.95","         49.40","         46.90","         48.85","         48.90","         48.33","   11917072","       5759.98","      31317","    1762148","         14.79"
"HDIL","EQ","22-Mar-2014","         48.90","         49.10","         49.15","         48.10","         48.85","         48.85","         48.81","     878371","        428.72","       2908","      98254","         11.19"
"HDIL","EQ","24-Mar-2014","         48.85","         49.10","         50.15","         48.80","         49.15","         49.20","         49.52","    7501771","       3714.51","      22574","    1151970","         15.36"
"HDIL","EQ","25-Mar-2014","         49.20","         49.15","         50.75","         48.50","         50.60","         50.50","         49.84","   13045906","       6502.36","      31275","    2748074","         21.06"
"HDIL","EQ","26-Mar-2014","         50.50","         50.90","         51.20","         49.40","         49.65","         49.80","         50.23","    7999100","       4018.23","      21054","    1007958","         12.60"
"HDIL","EQ","27-Mar-2014","         49.80","         49.70","         54.95","         49.15","         54.95","         53.90","         52.00","   20024698","      10413.24","      49119","    4111656","         20.53"
"HDIL","EQ","28-Mar-2014","         53.90","         54.60","         55.95","         53.20","         54.30","         54.35","         54.41","   15399080","       8378.74","      39710","    3729461","         24.22"
"HDIL","EQ","31-Mar-2014","         54.35","         54.85","         58.85","         54.15","         57.70","         57.60","         55.90","   16038828","       8964.99","      43545","    2573689","         16.05"
"HDIL","EQ","01-Apr-2014","         57.60","         57.65","         58.00","         55.35","         56.15","         56.20","         56.34","   11688398","       6585.01","      36003","    1337390","         11.44"
"HDIL","EQ","02-Apr-2014","         56.20","         56.55","         58.90","         56.15","         58.65","         58.50","         57.43","   10579092","       6075.80","      29660","    1440892","         13.62"
"HDIL","EQ","03-Apr-2014","         58.50","         58.50","         62.50","         57.55","         59.65","         59.70","         60.24","   23651705","      14248.44","      70086","    3293112","         13.92"
"HDIL","EQ","04-Apr-2014","         59.70","         59.70","         70.35","         58.60","         69.45","         69.65","         66.19","   55559962","      36776.89","     142117","    6980045","         12.56"
"HDIL","EQ","07-Apr-2014","         69.65","         69.00","         75.90","         68.55","         70.35","         71.00","         71.93","   60442711","      43477.27","     188308","    4244622","          7.02"
"HDIL","EQ","09-Apr-2014","         71.00","         71.20","         72.50","         70.10","         71.90","         71.65","         71.61","   17474904","      12513.05","      55857","    1916623","         10.97"
"HDIL","EQ","10-Apr-2014","         71.65","         71.95","         77.95","         71.70","         75.25","         75.65","         75.32","   30905133","      23276.82","      92069","    3927813","         12.71"
"HDIL","EQ","11-Apr-2014","         75.65","         75.20","         79.85","         74.40","         78.45","         78.10","         77.80","   28877804","      22467.10","      91146","    2106237","          7.29"
"HDIL","EQ","15-Apr-2014","         78.10","         78.90","         81.40","         74.40","         74.40","         75.55","         77.85","   26439198","      20582.45","      86117","    3326042","         12.58"
"HDIL","EQ","16-Apr-2014","         75.55","         75.30","         75.95","         70.10","         70.60","         70.80","         72.93","   23941898","      17461.67","      72992","    3339007","         13.95"
