"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","12-Feb-2015","        285.95","        288.90","        289.00","        278.30","        286.10","        284.30","        283.04","   20957180","      59317.46","     204691","    8400050","         40.08"
"SBIN","EQ","13-Feb-2015","        284.30","        288.00","        307.95","        285.35","        307.70","        306.95","        299.20","   70540056","     211053.44","     489932","   19490291","         27.63"
"SBIN","EQ","16-Feb-2015","        306.95","        310.60","        313.15","        304.70","        306.50","        306.70","        309.43","   21372131","      66132.70","     191827","    6204808","         29.03"
"SBIN","EQ","18-Feb-2015","        306.70","        306.80","        307.90","        302.00","        305.65","        305.70","        305.59","   13472484","      41170.92","     132293","    3727748","         27.67"
"SBIN","EQ","19-Feb-2015","        305.70","        306.10","        307.30","        296.80","        300.50","        302.35","        301.83","   17762135","      53611.31","     161674","    5504560","         30.99"
"SBIN","EQ","20-Feb-2015","        302.35","        301.90","        306.50","        297.05","        302.20","        302.30","        303.14","   15792502","      47873.75","     139509","    3510410","         22.23"
"SBIN","EQ","23-Feb-2015","        302.30","        303.20","        304.60","        294.40","        295.00","        296.55","        299.93","   12440505","      37313.12","     124068","    4392317","         35.31"
"SBIN","EQ","24-Feb-2015","        296.55","        296.90","        299.00","        292.10","        296.30","        296.25","        295.76","   15046698","      44501.75","     160554","    4348976","         28.90"
"SBIN","EQ","25-Feb-2015","        296.25","        299.00","        300.65","        295.00","        295.45","        295.55","        298.07","   12845169","      38287.28","     140342","    5097518","         39.68"
"SBIN","EQ","26-Feb-2015","        295.55","        297.00","        297.00","        288.05","        289.40","        289.40","        291.33","   18707345","      54500.97","     208496","    8879636","         47.47"
"SBIN","EQ","27-Feb-2015","        289.40","        291.25","        301.00","        290.10","        300.25","        299.90","        297.15","   18316053","      54425.82","     183942","    7457834","         40.72"
"SBIN","EQ","28-Feb-2015","        299.90","        304.95","        306.40","        295.10","        302.00","        301.65","        301.95","   25014393","      75530.74","     190989","    5352216","         21.40"
"SBIN","EQ","02-Mar-2015","        301.65","        305.90","        305.90","        296.70","        301.60","        302.00","        300.97","   15085595","      45403.68","     146727","    5217588","         34.59"
"SBIN","EQ","03-Mar-2015","        302.00","        303.50","        305.40","        299.70","        302.80","        302.60","        302.13","   14387971","      43470.79","     120759","    4149915","         28.84"
"SBIN","EQ","04-Mar-2015","        302.60","        314.00","        315.00","        292.00","        292.75","        293.85","        303.18","   38674148","     117252.94","     279976","   14512176","         37.52"
"SBIN","EQ","05-Mar-2015","        293.85","        294.75","        296.25","        289.75","        293.60","        293.80","        292.95","   16803823","      49226.44","     160590","    5540536","         32.97"
"SBIN","EQ","09-Mar-2015","        293.80","        292.00","        294.00","        288.70","        290.35","        290.65","        291.21","   13199803","      38439.54","     134400","    4658626","         35.29"
"SBIN","EQ","10-Mar-2015","        290.65","        290.75","        293.25","        285.10","        288.50","        287.60","        289.73","   14064427","      40749.21","     143101","    4503648","         32.02"
"SBIN","EQ","11-Mar-2015","        287.60","        288.55","        290.90","        283.75","        285.45","        285.15","        286.56","   16329314","      46792.61","     153093","    6858711","         42.00"
"SBIN","EQ","12-Mar-2015","        285.15","        288.15","        289.45","        286.10","        286.70","        286.85","        287.42","    9969794","      28655.10","     125972","    4144298","         41.57"
"SBIN","EQ","13-Mar-2015","        286.85","        290.00","        291.05","        280.00","        281.00","        280.75","        284.64","   13414248","      38182.18","     164812","    5129356","         38.24"
"SBIN","EQ","16-Mar-2015","        280.75","        281.50","        283.85","        280.00","        282.10","        281.65","        281.97","   15132928","      42670.01","     124888","    7323185","         48.39"
"SBIN","EQ","17-Mar-2015","        281.65","        283.90","        284.00","        279.50","        283.50","        283.10","        282.06","   11350496","      32015.32","     100856","    4372430","         38.52"
